epoch, episodes, frames, reward_sum, reward_avg, reward_max
1,51,100000,48450,950,1250
2,48,100716,53725,1119,1250
3,46,99356,52050,1132,1250
4,48,101948,52725,1098,1250
5,46,98012,50675,1102,1250
6,48,101312,53775,1120,1250
7,47,99084,51575,1097,1250
8,46,99856,53425,1161,1250
9,47,99804,51425,1094,1250
10,48,102072,52825,1101,1250
11,43,99420,50050,1164,1375
12,40,99228,47375,1184,1275
13,40,99488,47550,1189,1275
14,43,101380,47650,1108,1275
15,41,99240,47075,1148,1275
16,44,101668,46525,1057,1275
17,39,97728,46225,1185,1275
18,41,102216,48275,1177,1275
19,41,97612,45750,1116,1275
20,42,101276,47750,1137,1275
